Food,Carbs,Calories,Protein,Fat
"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",23.76,342.0,8.49,0.66
"Cowpeas (blackeyes), immature seeds, frozen, unprepared",25.13,360.5,8.98,0.7
"Cowpeas (blackeyes), immature seeds, raw",18.83,233.0,2.95,0.35
"Cowpeas, catjang, mature seeds, cooked, boiled, with salt",20.32,303.5,8.13,0.71
"Cowpeas, catjang, mature seeds, cooked, boiled, without salt",20.32,303.5,8.13,0.71
"Cowpeas, catjang, mature seeds, raw",59.64,889.0,23.85,2.07
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, canned with pork",16.53,215.0,2.74,1.6
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, canned, plain",13.63,199.5,4.74,0.55
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, with salt",20.76,300.0,7.73,0.53
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt",20.76,300.0,7.73,0.53
"Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw",60.03,871.0,23.52,1.26
"Cowpeas, leafy tips, cooked, boiled, drained, with salt",2.8,57.0,4.67,0.1
"Cowpeas, leafy tips, cooked, boiled, drained, without salt",2.8,57.0,4.67,0.1
"Cowpeas, leafy tips, raw",4.82,75.0,4.1,0.25
"Cowpeas, young pods with seeds, cooked, boiled, drained, with salt",7.0,88.0,2.6,0.3
"Cowpeas, young pods with seeds, cooked, boiled, drained, without salt",7.0,88.0,2.6,0.3
"Cowpeas, young pods with seeds, raw",9.5,114.0,3.3,0.3
"Crabapples, raw",19.95,197.0,0.4,0.3
"Cracker, meal",80.9,993.0,9.3,1.7
"Crackers, cheese, low sodium",58.2,1304.0,10.1,25.3
"Crackers, cheese, reduced fat",68.19,1083.0,10.0,11.67
"Crackers, cheese, regular",59.42,1266.5,10.93,22.74
"Crackers, cheese, sandwich-type with cheese filling",58.76,1271.0,8.92,24.41
"Crackers, cheese, sandwich-type with peanut butter filling",56.74,1285.0,12.41,25.12
"Crackers, cheese, whole grain",57.29,1068.0,9.62,16.03
"Crackers, cream, Gamesa Sabrosas",64.55,1254.5,7.01,20.37
"Crackers, cream, La Moderna Rikis Cream Crackers",64.88,1202.5,7.19,19.5
"Crackers, crispbread, rye",82.2,948.5,7.9,1.3
"Crackers, flavored, fish-shaped",65.67,1199.5,10.16,17.71
"Crackers, gluten-free, multi-seeded and multigrain",66.3,1173.5,11.25,15.84
"Crackers, gluten-free, multigrain and vegetable, made with corn starch and white rice flour",76.94,1183.0,2.5,15.41
"Crackers, matzo, egg",78.6,1013.5,12.3,2.1
"Crackers, matzo, egg and onion",77.1,1013.5,10.0,3.9
"Crackers, matzo, plain",83.7,1024.0,10.0,1.4
"Crackers, matzo, whole-wheat",78.9,910.0,13.1,1.5
"Crackers, melba toast, plain",76.6,1011.0,12.1,3.2
"Crackers, melba toast, plain, without salt",76.6,1011.0,12.1,3.2
"Crackers, melba toast, rye (includes pumpernickel)",77.3,1008.5,11.6,3.4
"Crackers, melba toast, wheat",76.4,969.5,12.9,2.3
"Crackers, milk",71.73,1155.5,7.6,13.77
"Crackers, multigrain",67.6,1250.0,7.1,20.4
"Crackers, rusk toast",72.3,1055.0,13.5,7.2
"Crackers, rye, sandwich-type with cheese filling",60.8,1247.0,9.2,22.3
"Crackers, rye, wafers, plain",80.4,865.5,9.6,0.9
"Crackers, rye, wafers, seasoned",73.8,987.5,9.0,9.2
"Crackers, saltines (includes oyster, soda, soup)",74.05,1082.5,9.46,8.64
"Crackers, saltines, fat-free, low-sodium",82.3,1018.5,10.5,1.6
"Crackers, saltines, low salt (includes oyster, soda, soup)",74.34,1090.5,9.5,8.85
"Crackers, saltines, unsalted tops (includes oyster, soda, soup)",71.5,1125.0,9.2,11.8
"Crackers, saltines, whole wheat (includes multi-grain)",68.25,1031.5,7.14,10.71
"Crackers, sandwich-type, peanut butter filled, reduced fat",63.49,1133.5,8.33,16.67
"Crackers, snack, Goya Crackers",64.35,1122.5,14.25,13.35
"Crackers, standard snack-type, regular",61.3,1321.0,6.64,26.43
"Crackers, standard snack-type, regular, low salt",61.0,1301.0,7.4,25.3
"Crackers, standard snack-type, sandwich, with cheese filling",61.7,1236.5,9.3,21.1
"Crackers, standard snack-type, sandwich, with peanut butter filling",58.38,1280.5,11.47,24.54
"Crackers, standard snack-type, with whole wheat",68.37,1200.5,7.29,17.84
"Crackers, toast thins, low sodium",67.66,1145.0,6.45,16.13
"Crackers, water biscuits",72.81,995.5,7.14,7.14
"Crackers, wheat, low salt",64.9,1226.0,8.6,20.6
"Crackers, wheat, reduced fat",71.52,1150.5,9.34,13.37
"Crackers, wheat, regular",70.73,1179.0,7.3,16.4
"Crackers, wheat, sandwich, with cheese filling",58.2,1288.0,9.8,25.0
"Crackers, wheat, sandwich, with peanut butter filling",53.8,1283.0,13.5,26.7
"Crackers, whole grain, sandwich-type, with peanut butter filling",54.59,1206.0,14.12,21.18
"Crackers, whole-wheat",69.55,1106.5,10.58,14.13
"Crackers, whole-wheat, low salt",68.6,1148.5,8.8,17.2
"Crackers, whole-wheat, reduced fat",75.52,1077.5,11.34,7.59
"Cranberries, dried, sweetened (Includes foods for USDA's Food Distribution Program)",82.8,798.0,0.17,1.09
"Cranberries, raw",11.97,118.5,0.46,0.13
"Cranberries, wild, bush, raw (Alaska Native)",12.3,143.5,1.1,0.2
"Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium",10.91,116.0,0.27,0.12
"Cranberry juice cocktail, bottled",13.52,139.0,0.0,0.1
"Cranberry juice cocktail, bottled, low calorie, with calcium, saccharin and corn sweetener",4.6,48.0,0.02,0.01
"Cranberry juice cocktail, frozen concentrate",51.45,521.0,0.05,0.0
"Cranberry juice cocktail, frozen concentrate, prepared with water",11.81,122.5,0.01,0.0
"Cranberry juice, unsweetened",12.2,120.0,0.39,0.13
"Cranberry sauce, canned, sweetened",40.4,413.0,0.9,0.15
"Cranberry sauce, jellied, canned, OCEAN SPRAY",40.61,414.5,1.05,0.04
"Cranberry sauce, whole, canned, OCEAN SPRAY",40.4,409.5,0.75,0.05
"Cranberry, low bush or lingenberry, raw (Alaska Native)",12.2,142.5,0.4,0.5
"Cranberry-orange relish, canned",46.2,461.5,0.3,0.1
"Cream puff shell, prepared from recipe",22.8,933.5,9.0,25.9
"Cream puff, eclair, custard or cream filled, iced",37.43,866.0,4.41,18.52
"Cream substitute, flavored, liquid",35.07,650.0,0.69,13.5
"Cream substitute, flavored, powdered",75.42,1250.0,0.68,21.47
"Cream substitute, liquid, light",9.1,184.0,0.8,3.5
"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",11.38,352.0,1.0,9.97
"Cream substitute, liquid, with lauric acid oil and sodium caseinate",11.38,353.5,1.0,9.97
"Cream substitute, powdered",59.29,1372.0,2.48,32.92
"Cream substitute, powdered, light",73.4,1117.0,1.9,15.7
"Cream, fluid, half and half",4.3,339.5,3.13,11.5
"Cream, fluid, heavy whipping",2.84,882.0,2.84,36.08
"Cream, fluid, light (coffee cream or table cream)",3.66,505.0,2.96,19.1
"Cream, fluid, light whipping",2.96,757.5,2.17,30.91
"Cream, half and half, fat free",9.0,153.0,2.6,1.4
"Cream, half and half, lowfat",3.33,186.0,3.33,5.0
"Cream, sour, cultured",4.63,514.0,2.44,19.35
"Cream, sour, reduced fat, cultured",4.26,349.0,2.94,12.0
"Cream, whipped, cream topping, pressurized",12.49,667.0,3.2,22.22
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",7.0,414.5,1.5,14.0
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, cholesterol-free",16.0,363.0,1.0,8.0
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, fat-free",20.0,277.5,1.4,2.7
"Cress, garden, cooked, boiled, drained, with salt",3.8,59.5,1.9,0.6
"Cress, garden, cooked, boiled, drained, without salt",3.8,59.5,1.9,0.6
"Cress, garden, raw",5.5,83.0,2.6,0.7
"Croissants, apple",37.1,658.5,7.4,8.7
"Croissants, butter",45.8,1052.5,8.2,21.0
"Croissants, cheese",47.0,1073.0,9.2,20.9
"Croutons, plain",73.5,1055.0,11.9,6.6
"Croutons, seasoned",63.5,1205.5,10.8,18.3
"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",67.18,1181.0,10.91,15.92
"Crustaceans, crab, alaska king, cooked, moist heat",0.0,251.5,19.35,1.54
"Crustaceans, crab, alaska king, imitation, made from surimi",15.0,245.5,7.62,0.46
"Crustaceans, crab, alaska king, raw",0.0,217.5,18.29,0.6
"Crustaceans, crab, blue, canned",0.0,215.0,17.88,0.74
"Crustaceans, crab, blue, cooked, moist heat",0.0,215.0,17.88,0.74
"Crustaceans, crab, blue, crab cakes, home recipe",0.48,402.0,20.21,7.52
"Crustaceans, crab, blue, raw",0.04,225.5,18.06,1.08
"Crustaceans, crab, dungeness, cooked, moist heat",0.95,285.0,22.32,1.24
"Crustaceans, crab, dungeness, raw",0.74,223.0,17.41,0.97
"Crustaceans, crab, queen, cooked, moist heat",0.0,298.0,23.72,1.51
"Crustaceans, crab, queen, raw",0.0,233.5,18.5,1.18
"Crustaceans, crayfish, mixed species, farmed, cooked, moist heat",0.0,225.5,17.52,1.3
"Crustaceans, crayfish, mixed species, farmed, raw",0.0,186.5,14.85,0.97
"Crustaceans, crayfish, mixed species, wild, cooked, moist heat",0.0,212.5,16.77,1.2
"Crustaceans, crayfish, mixed species, wild, raw",0.0,199.5,15.97,0.95
"Crustaceans, lobster, northern, cooked, moist heat",0.0,230.5,19.0,0.86
"Crustaceans, lobster, northern, raw",0.0,200.5,16.52,0.75
"Crustaceans, shrimp, cooked",0.2,257.0,23.98,0.28
"Crustaceans, shrimp, mixed species, canned",0.0,258.0,20.42,1.36
"Crustaceans, shrimp, mixed species, cooked, breaded and fried",11.47,627.5,21.39,12.28
"Crustaceans, shrimp, mixed species, cooked, moist heat (may contain additives to retain moisture)",1.52,308.0,22.78,1.7
"Crustaceans, shrimp, mixed species, imitation, made from surimi",9.13,262.0,12.39,1.47
"Crustaceans, shrimp, mixed species, raw (may contain additives to retain moisture)",0.91,184.0,13.61,1.01
"Crustaceans, shrimp, raw",0.0,220.5,20.1,0.51
"Crustaceans, spiny lobster, mixed species, cooked, moist heat",3.12,370.5,26.41,1.94
"Crustaceans, spiny lobster, mixed species, raw",2.43,290.5,20.6,1.51
"Cucumber, peeled, raw",2.16,27.0,0.59,0.16
"Cucumber, with peel, raw",3.63,40.0,0.65,0.11
"Currants, european black, raw",15.38,163.5,1.4,0.41
"Currants, red and white, raw",13.8,145.0,1.4,0.2
"Currants, zante, dried",76.98,752.5,3.43,0.22
"Custard-apple, (bullock's-heart), raw",25.2,262.0,1.7,0.6
"DENNY'S, chicken nuggets, star shaped, from kid's menu",13.59,976.0,16.27,28.57
"DENNY'S, chicken strips",22.03,765.5,19.17,14.5
"DENNY'S, coleslaw",10.88,473.5,0.97,15.03
"DENNY'S, fish fillet, battered or breaded, fried",17.41,606.5,13.75,12.16
"DENNY'S, french fries",35.2,730.0,3.41,14.13
"DENNY'S, golden fried shrimp",20.93,827.5,13.88,20.01
"DENNY'S, hash browns",26.59,511.0,2.49,8.99
"DENNY'S, macaroni & cheese, from kid's menu",21.16,388.0,5.19,4.92
"DENNY'S, mozzarella cheese sticks",27.22,839.5,13.56,17.87
"DENNY'S, onion rings",41.05,999.0,5.29,22.23
"DENNY'S, spaghetti and meatballs",15.51,441.0,7.84,8.52
"DENNY'S, top sirloin steak",0.14,472.0,28.9,7.34
"DIGIORNO Pizza, cheese topping, cheese stuffed crust, frozen, baked",29.86,722.0,13.48,11.68
"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked",31.78,663.0,12.8,8.6
"DIGIORNO Pizza, cheese topping, thin crispy crust, frozen, baked",26.47,640.0,12.96,9.91
"DIGIORNO Pizza, pepperoni topping, cheese stuffed crust, frozen, baked",29.46,723.0,13.92,11.71
"DIGIORNO Pizza, pepperoni topping, rising crust, frozen, baked",31.15,687.5,12.46,10.11
"DIGIORNO Pizza, pepperoni topping, thin crispy crust, frozen, baked",28.67,734.0,13.22,12.86
"DIGIORNO Pizza, supreme topping, rising crust, frozen, baked",27.93,660.5,11.74,10.68
"DIGIORNO Pizza, supreme topping, thin crispy crust, frozen, baked",28.05,661.0,11.41,10.8
"DOMINO'S 14"" Cheese Pizza, Classic Hand-Tossed Crust",33.24,666.0,10.8,8.97
"DOMINO'S 14"" Cheese Pizza, Crunchy Thin Crust",28.18,772.5,12.33,15.1
"DOMINO'S 14"" Cheese Pizza, Ultimate Deep Dish Crust",33.48,688.0,10.76,9.83
"DOMINO'S 14"" EXTRAVAGANZZA FEAST Pizza, Classic Hand-Tossed Crust",25.72,632.5,10.33,11.1
"DOMINO'S 14"" Pepperoni Pizza, Classic Hand-Tossed Crust",31.86,708.0,11.25,11.18
"DOMINO'S 14"" Pepperoni Pizza, Crunchy Thin Crust",25.35,851.0,13.88,19.05
"DOMINO'S 14"" Pepperoni Pizza, Ultimate Deep Dish Crust",31.89,732.5,11.52,12.1
"DOMINO'S 14"" Sausage Pizza, Classic Hand-Tossed Crust",31.84,706.5,11.08,11.2
"DOMINO'S 14"" Sausage Pizza, Crunchy Thin Crust",25.3,826.5,12.77,18.52
"DOMINO'S 14"" Sausage Pizza, Ultimate Deep Dish Crust",31.17,718.0,11.03,12.03
"Dandelion greens, cooked, boiled, drained, with salt",6.4,85.5,2.0,0.6
"Dandelion greens, cooked, boiled, drained, without salt",6.4,85.5,2.0,0.6
"Dandelion greens, raw",9.2,116.5,2.7,0.7
"Danish pastry, cheese",37.2,969.5,8.0,21.9
"Danish pastry, cinnamon, enriched",44.6,1044.5,7.0,22.4
"Danish pastry, cinnamon, unenriched",44.6,1044.5,7.0,22.4
"Danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry)",47.8,961.5,5.4,18.5
"Danish pastry, fruit, unenriched (includes apple, cinnamon, raisin, strawberry)",47.8,961.5,5.4,18.5
"Danish pastry, lemon, unenriched",47.8,961.5,5.4,18.5
"Danish pastry, raspberry, unenriched",47.8,961.5,5.4,18.5
"Dates, deglet noor",75.03,730.0,2.45,0.39
"Dates, medjool",74.97,718.5,1.81,0.15
"Deer (venison), sitka, raw (Alaska Native)",0.0,300.0,21.5,2.66
"Dessert topping, powdered",52.54,1496.0,4.9,39.92
"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",17.13,502.5,3.61,12.72
"Dessert topping, pressurized",16.07,683.5,0.98,22.3
"Dessert topping, semi solid, frozen",23.05,825.0,1.25,25.31
"Desserts, apple crisp, prepared-from-recipe",30.84,418.0,1.75,3.43
"Desserts, egg custard, baked, prepared-from-recipe",11.0,270.5,5.02,4.58
"Desserts, flan, caramel custard, prepared-from-recipe",22.78,377.0,4.53,4.03
"Desserts, mousse, chocolate, prepared-from-recipe",16.07,583.0,4.14,16.0
"Desserts, rennin, chocolate, dry mix",91.5,941.0,2.4,3.3
"Desserts, rennin, tablets, unsweetened",19.8,217.5,1.0,0.1
"Desserts, rennin, vanilla, dry mix",99.0,992.5,0.0,0.0
"Dill weed, fresh",7.02,111.5,3.46,1.12
"Dip, FRITO'S, bean, original flavor",15.89,307.5,5.44,3.7
"Dip, TOSTITOS, salsa con queso, medium",11.72,344.5,2.92,8.26
"Dip, bean, original flavor",15.89,307.5,5.44,3.7
"Dip, salsa con queso, cheese and salsa- medium",11.14,370.0,3.14,9.51
"Dock, cooked, boiled, drained, with salt",2.93,52.0,1.83,0.64
"Dock, cooked, boiled, drained, without salt",2.93,52.0,1.83,0.64
"Dock, raw",3.2,57.0,2.0,0.7
"Doughnuts, cake-type, chocolate, sugared or glazed",57.4,1081.0,4.5,19.9
"Doughnuts, cake-type, plain (includes unsugared, old-fashioned)",47.06,1124.5,5.31,24.93
"Doughnuts, cake-type, plain, chocolate-coated or frosted",51.33,1172.0,4.93,25.25
"Doughnuts, cake-type, plain, sugared or glazed",50.8,1104.0,5.2,22.9
"Doughnuts, french crullers, glazed",59.5,1068.0,3.1,18.3
"Doughnuts, yeast-leavened, glazed, enriched (includes honey buns)",47.93,1090.5,6.14,22.7
"Doughnuts, yeast-leavened, glazed, unenriched (includes honey buns)",44.3,1044.5,6.4,22.8
"Doughnuts, yeast-leavened, with creme filling",30.0,935.5,6.4,24.5
"Doughnuts, yeast-leavened, with jelly filling",39.0,881.5,5.9,18.7
"Dove, cooked (includes squab)",0.0,551.5,23.9,13.0
"Dressing, honey mustard, fat-free",38.43,437.0,1.07,1.47
"Drumstick leaves, cooked, boiled, drained, with salt",11.15,155.5,5.27,0.93
"Drumstick leaves, cooked, boiled, drained, without salt",11.15,155.5,5.27,0.93
"Drumstick leaves, raw",8.28,166.0,9.4,1.4
"Drumstick pods, cooked, boiled, drained, with salt",8.18,93.5,2.09,0.19
"Drumstick pods, cooked, boiled, drained, without salt",8.18,93.5,2.09,0.19
"Drumstick pods, raw",8.53,96.0,2.1,0.2
"Duck, domesticated, liver, raw",3.53,352.5,18.74,4.64
"Duck, domesticated, meat and skin, cooked, roasted",0.0,873.5,18.99,28.35
"Duck, domesticated, meat and skin, raw",0.0,1047.0,11.49,39.34
"Duck, domesticated, meat only, cooked, roasted",0.0,521.0,23.48,11.2
"Duck, domesticated, meat only, raw",0.94,350.5,18.28,5.95
"Duck, scoter, white-winged, meat (Alaska Native)",0.0,218.5,20.2,0.4
"Duck, wild, breast, meat only, raw",0.0,319.0,19.85,4.25
"Duck, wild, meat and skin, raw",0.0,547.0,17.42,15.2
"Duck, young duckling, domesticated, White Pekin, breast, meat and skin, boneless, cooked, roasted",0.0,523.5,24.5,10.85
"Duck, young duckling, domesticated, White Pekin, breast, meat only, boneless, cooked without skin, broiled",0.0,363.0,27.6,2.5
"Duck, young duckling, domesticated, White Pekin, leg, meat and skin, bone in, cooked, roasted",0.0,562.5,26.75,11.4
"Duck, young duckling, domesticated, White Pekin, leg, meat only, bone in, cooked without skin, braised",0.0,461.5,29.1,5.96
Dulce de Leche,55.35,816.5,6.84,7.35
"Dumpling, potato- or cheese-filled, frozen",29.64,505.0,5.26,6.14
"Durian, raw or frozen",27.09,381.0,1.47,5.33
"Dutch brand loaf, chicken, pork and beef",3.93,708.0,12.0,22.91
"Edamame, frozen, prepared",8.91,314.0,11.91,5.2
"Edamame, frozen, unprepared",7.61,283.5,11.22,4.73
"Egg custards, dry mix",82.8,1062.5,6.9,6.4
"Egg custards, dry mix, prepared with 2% milk",17.61,291.0,4.13,2.83
"Egg custards, dry mix, prepared with whole milk",17.6,317.0,3.99,4.0
"Egg rolls, chicken, refrigerated, heated",28.54,509.5,10.44,4.51
"Egg rolls, pork, refrigerated, heated",28.49,589.0,9.94,8.18
"Egg rolls, vegetable, frozen, prepared",31.77,554.0,5.95,6.97
"Egg substitute, liquid or frozen, fat free",2.0,124.5,10.0,0.0
"Egg substitute, powder",21.8,1150.0,55.5,13.0
"Egg, duck, whole, fresh, raw",1.45,480.5,12.81,13.77
"Egg, goose, whole, fresh, raw",1.35,480.0,13.87,13.27
"Egg, quail, whole, fresh, raw",0.41,410.5,13.05,11.09
"Egg, turkey, whole, fresh, raw",1.15,443.5,13.68,11.88
"Egg, white, dried",7.8,990.0,81.1,0.0
"Egg, white, dried, flakes, stabilized, glucose reduced",4.17,910.0,76.92,0.04
"Egg, white, dried, powder, stabilized, glucose reduced",4.47,974.5,82.4,0.04
"Egg, white, dried, stabilized, glucose reduced",4.51,926.0,84.08,0.32
"Egg, white, raw, fresh",0.73,134.0,10.9,0.17
"Egg, white, raw, frozen, pasteurized",1.04,125.0,10.2,0.0
"Egg, whole, cooked, fried",0.83,508.5,13.61,14.84
"Egg, whole, cooked, hard-boiled",1.12,402.0,12.58,10.61
"Egg, whole, cooked, omelet",0.64,398.5,10.57,11.66
"Egg, whole, cooked, poached",0.71,370.0,12.51,9.47
"Egg, whole, cooked, scrambled",1.61,385.0,9.99,10.98
"Egg, whole, dried",1.13,1534.0,48.05,43.9
"Egg, whole, dried, stabilized, glucose reduced",2.38,1594.5,48.17,43.95
"Egg, whole, raw, fresh",0.72,371.0,12.56,9.51
"Egg, whole, raw, frozen, pasteurized (Includes foods for USDA's Food Distribution Program)",1.01,381.5,12.33,9.95
"Egg, whole, raw, frozen, salted, pasteurized",0.83,357.5,10.97,10.07
"Egg, yolk, dried",0.66,1734.5,33.63,59.13
"Egg, yolk, raw, fresh",3.59,834.0,15.86,26.54
"Egg, yolk, raw, frozen, pasteurized",0.81,767.0,15.53,25.6
"Egg, yolk, raw, frozen, salted, pasteurized",1.77,712.0,14.07,22.93
"Egg, yolk, raw, frozen, sugared, pasteurized",10.95,795.0,13.87,22.82
Eggnog,8.05,227.5,4.55,4.19
"Eggplant, cooked, boiled, drained, with salt",8.14,85.5,0.83,0.23
"Eggplant, cooked, boiled, drained, without salt",8.73,91.0,0.83,0.23
"Eggplant, pickled",9.77,127.0,0.9,0.7
"Eggplant, raw",5.88,64.5,0.98,0.18
"Eggs, scrambled, frozen mixture",7.5,339.5,13.1,5.6
"Elderberries, raw",18.4,189.0,0.66,0.5
"Elk, free range, ground, cooked patties (Shoshone Bannock)",0.0,370.5,29.45,2.8
"Elk, free range, ground, raw (Shoshone Bannock)",0.0,251.0,20.14,1.8
"Elk, free range, roast, eye of round, cooked (Shoshone Bannock)",0.0,383.5,30.56,2.85
"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",0.0,253.5,19.74,2.1
"Emu, fan fillet, cooked, broiled",0.0,399.5,31.27,2.3
"Emu, fan fillet, raw",0.0,267.5,22.5,0.8
"Emu, flat fillet, raw",0.0,263.5,22.25,0.74
"Emu, full rump, cooked, broiled",0.0,435.5,33.67,2.68
"Emu, full rump, raw",0.0,290.5,22.83,1.64
"Emu, ground, cooked, pan-broiled",0.0,423.0,28.43,4.65
"Emu, ground, raw",0.0,346.5,22.77,4.03
"Emu, inside drum, raw",0.0,280.5,22.22,1.49
"Emu, inside drums, cooked, broiled",0.0,405.0,32.38,2.01
"Emu, outside drum, raw",0.0,266.5,23.08,0.48
"Emu, oyster, raw",0.0,366.0,22.81,4.86
"Emu, top loin, cooked, broiled",0.0,395.0,29.07,3.13
"Endive, raw",3.35,44.0,1.25,0.2
"English muffins, plain, enriched, without calcium propionate(includes sourdough)",46.0,609.0,7.7,1.8
"English muffins, plain, unenriched, with calcium propionate (includes sourdough)",46.0,609.0,7.7,1.8
"English muffins, plain, unenriched, without calcium propionate (includes sourdough)",46.0,609.0,7.7,1.8
"English muffins, whole grain white",50.17,634.0,7.02,1.75
"Epazote, raw",7.44,83.0,0.33,0.52
"Eppaw, raw",31.68,389.0,4.6,1.8
"Escarole, cooked, boiled, drained, no salt added",3.07,39.5,1.15,0.18
"Falafel, home-prepared",31.84,863.0,13.31,17.8
"Fast Food, Pizza Chain, 14"" pizza, cheese topping, regular crust",33.33,689.5,11.39,9.69
"Fast Food, Pizza Chain, 14"" pizza, cheese topping, stuffed crust",30.0,709.5,12.23,11.63
"Fast Food, Pizza Chain, 14"" pizza, cheese topping, thick crust",33.17,702.0,10.81,10.54
"Fast Food, Pizza Chain, 14"" pizza, cheese topping, thin crust",31.2,782.5,12.85,13.95
"Fast Food, Pizza Chain, 14"" pizza, meat and vegetable topping, regular crust",25.38,632.0,11.02,10.9
"Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, regular crust",31.98,731.0,11.74,11.91
"Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, thick crust",31.84,743.0,11.49,12.58
"Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, thin crust",29.0,857.0,14.01,17.61
"Fast Food, Pizza Chain, 14"" pizza, sausage topping, regular crust",30.62,725.0,11.5,12.35
"Fast Food, Pizza Chain, 14"" pizza, sausage topping, thick crust",30.36,731.5,11.06,12.94
"Fast Food, Pizza Chain, 14"" pizza, sausage topping, thin crust",27.0,831.5,13.36,17.71
"Fast Foods, Fried Chicken, Breast, meat and skin and breading",6.03,596.5,23.51,12.44
"Fast Foods, Fried Chicken, Breast, meat only, skin and breading removed",0.0,395.5,27.93,4.54
"Fast Foods, Fried Chicken, Drumstick, meat and skin with breading",7.59,692.5,21.13,16.92
"Fast Foods, Fried Chicken, Drumstick, meat only, skin and breading removed",0.0,445.0,26.24,7.41
"Fast Foods, Fried Chicken, Skin and breading from all pieces",19.56,1031.0,14.11,29.22
"Fast Foods, Fried Chicken, Thigh, meat and skin and breading",8.68,710.5,19.23,18.07
"Fast Foods, Fried Chicken, Thigh, meat only, skin and breading removed",0.24,462.5,23.21,9.41
"Fast Foods, Fried Chicken, Wing, meat and skin and breading",11.19,804.0,21.14,20.09
"Fast Foods, Fried Chicken, Wing, meat only, skin and breading removed",2.13,558.0,28.77,10.2
"Fast Foods, biscuit, with egg and sausage",21.05,808.5,11.13,20.77
"Fast Foods, cheeseburger; double, large patty; with condiments, vegetables and mayonnaise",12.62,656.0,15.5,15.63
"Fast Foods, crispy chicken filet sandwich, with lettuce and mayonnaise",27.4,714.5,10.94,13.59
"Fast Foods, grilled chicken filet sandwich, with lettuce, tomato and spread",16.78,472.0,17.34,4.57
"Fast food, biscuit",42.82,958.5,7.08,18.92
"Fast foods, bagel, with breakfast steak, egg, cheese, and condiments",22.99,732.0,15.95,14.07
"Fast foods, bagel, with egg, sausage patty, cheese, and condiments",22.64,765.0,12.98,16.97
"Fast foods, biscuit, with crispy chicken fillet",30.56,777.5,11.93,14.93
"Fast foods, biscuit, with egg and bacon",19.06,790.5,11.33,20.73
"Fast foods, biscuit, with egg and ham",16.37,603.0,10.64,14.08
"Fast foods, biscuit, with egg, cheese, and bacon",24.44,779.5,12.01,17.48
"Fast foods, biscuit, with ham",38.75,886.5,11.85,16.3
"Fast foods, biscuit, with sausage",29.99,961.5,9.67,24.42
"Fast foods, breadstick, soft, prepared with garlic and parmesan cheese",44.48,888.5,12.2,12.88
"Fast foods, breakfast burrito, with egg, cheese, and sausage",22.97,718.0,11.1,15.63
"Fast foods, burrito, with beans",32.92,534.0,6.48,6.22
"Fast foods, burrito, with beans and beef",19.52,496.0,11.52,7.47
"Fast foods, burrito, with beans and cheese",31.23,530.5,7.35,6.05
"Fast foods, burrito, with beans, cheese, and beef",23.37,466.5,7.03,6.8
"Fast foods, cheeseburger, double, regular patty and bun, with condiments",17.97,732.0,16.24,16.18
"Fast foods, cheeseburger; double, large patty; with condiments",14.43,704.0,16.96,16.22
"Fast foods, cheeseburger; double, regular patty; double decker bun with condiments and special sauce",21.53,676.0,11.94,14.1
"Fast foods, cheeseburger; double, regular patty; with condiments",17.97,732.0,16.24,16.18
"Fast foods, cheeseburger; single, large patty; plain",24.07,804.0,17.29,15.97
"Fast foods, cheeseburger; single, large patty; with condiments",19.72,698.0,15.21,14.4
"Fast foods, cheeseburger; single, large patty; with condiments, vegetables and mayonnaise",17.73,694.5,13.69,15.8
"Fast foods, cheeseburger; single, regular patty, with condiments",25.46,699.0,13.49,12.9
"Fast foods, cheeseburger; single, regular patty, with condiments and vegetables",24.97,657.5,13.06,11.5
"Fast foods, cheeseburger; single, regular patty; plain",28.03,799.0,16.51,14.72
"Fast foods, chicken fillet sandwich, plain with pickles",20.89,648.0,16.28,11.19
"Fast foods, chicken tenders",17.25,703.5,19.22,13.95
"Fast foods, chicken, breaded and fried, boneless pieces, plain",14.93,795.0,15.92,20.36
"Fast foods, coleslaw",14.89,395.5,0.95,9.91
"Fast foods, crispy chicken in tortilla, with lettuce, cheese, and ranch sauce",23.22,712.0,11.48,15.1
"Fast foods, crispy chicken, bacon, and tomato club sandwich, with cheese, lettuce, and mayonnaise",22.61,667.0,15.38,11.76
